,,Paste data from survey (sort by name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apple,Banana,Caterpillar,Donkey,Elephant,Fringle,Gargoyle,Humid,Interstellar,Jupiter,Koala,Lumpy,Mongoose,Nickleback,Octopus,Platypus,Quail,Railroad,Snake,Train,Uuvula,Violin,Wonky,Xylophone,Youngster,Zebra,Alabama,Bikini,Cat,Dumby,Egg,Flick,Great,Heat,Intelligent,Juggle,Kill,Love,,,,,,
Dumby,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,,
Egg,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,
Flick,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Great,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES, I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES, I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Heat,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,I would especially enjoy working with this person.,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,
Intelligent,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES, I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,
Juggle,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES","I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",I would especially enjoy working with this person.,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,I would especially enjoy working with this person.,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,"I would refuse to work with this person, due to OUR INTERPERSONAL ISSUES",,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,,,,
Kill,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,
Love,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,"I would refuse to work with this person, due to THEIR TECHNICAL ABILITIES",,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Use 'find' and 'replace' to simplify the data - 1 for preference, T for technical, I for interpersonal ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apple,Banana,Caterpillar,Donkey,Elephant,Fringle,Gargoyle,Humid,Interstellar,Jupiter,Koala,Lumpy,Mongoose,Nickleback,Octopus,Platypus,Quail,Railroad,Snake,Train,Uuvula,Violin,Wonky,Xylophone,Youngster,Zebra,Alabama,Bikini,Cat,Dumby,Egg,Flick,Great,Heat,Intelligent,Juggle,Kill,Love,,,,,,
Apple,,1,1,1,1,1,1,1,1,T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,36,,,
Banana,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,
Caterpillar,1,1,1,1,T,1,1,I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I,1,1,,,35,,,
